auteur,equipe,titre,annee,type_publi,venue,rang_core,score_qualite,quartile_scimago
Ladjel BELLATRECHE,IDD,Accelerated enumeration of extreme rays through a positive-definite elementarity test.,2025,Revue,Bioinform.,Non classé,0.0,Non classé
Ladjel BELLATRECHE,IDD,A Discretized Overlap Resolution Algorithm (DORA) for resolving spatial overlaps in individual-based models of microbes.,2025,Revue,PLoS Comput. Biol.,Non classé,0.0,Non classé
Ladjel BELLATRECHE,IDD,Modeling climatic effects on milk production.,2024,Revue,Comput. Electron. Agric.,Non classé,0.0,Non classé
Ladjel BELLATRECHE,IDD,Multi-objective optimization under parametric uncertainty: A Pareto ellipsoids-based algorithm.,2023,Revue,Comput. Chem. Eng.,Non classé,0.0,Non classé
Ladjel BELLATRECHE,IDD,Dynamics of Positive Frequency Dependent Selection Triggers Selection for Silence.,2022,Revue,Complex.,Non classé,0.0,Non classé
Seif eddine BENKABOU,IDD,DART-PFLOTRAN: An ensemble-based data assimilation system for estimating subsurface flow and transport model parameters.,2021,Revue,Environ. Model. Softw.,Non classé,0.0,Non classé
Allel HADJALI,IDD,A temporal dependency preserving approach for anomaly detection on multivariate time series.,2025,Revue,World Wide Web (WWW),Non classé,0.0,Non classé
Allel HADJALI,IDD,Bridging machine learning and query optimization: Feedback-driven selectivity estimation for spatial filters.,2025,Revue,World Wide Web (WWW),Non classé,0.0,Non classé
Allel HADJALI,IDD,An Advanced Entity Resolution in Data Lakes: First Steps.,2025,Conférence,DATA,Non classé,0.0,Non classé
Allel HADJALI,IDD,Parallel continuous skyline query over high-dimensional data stream windows.,2024,Revue,Distributed Parallel Databases,Non classé,0.0,Non classé
Allel HADJALI,IDD,Selectivity Estimation for Spatial Filters Using Optimizer Feedback: A Machine Learning Perspective.,2024,Conférence,WISE (4),Non classé,0.0,Non classé
Allel HADJALI,IDD,An intelligent fuzzy system to manage western flower thrips population under biological treatment in roses yield.,2023,Revue,Comput. Electron. Agric.,Non classé,0.0,Non classé
Allel HADJALI,IDD,SRDF_QDAG: An efficient end-to-end RDF data management when graph exploration meets spatial processing.,2023,Revue,Comput. Sci. Inf. Syst.,Non classé,0.0,Non classé
Allel HADJALI,IDD,Multisensor Data Fusion in IoT Environments in Dempster-Shafer Theory Setting: An Improved Evidence Distance-Based Approach.,2023,Revue,Sensors,Non classé,0.0,Non classé
Allel HADJALI,IDD,CoSP: co-selection pick for a global explainability of black box machine learning models.,2023,Revue,World Wide Web (WWW),Non classé,0.0,Non classé
